# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.810000,-1.475923,-0.000000,-0.000000,0.752886,-1.019397,0.526624,-0.123685,0.011192,-2.999357,-0.000000,-0.000000,0.987635,-1.001916,0.428491,-0.088730,0.007396,0.992242,0.000000,0.000000,0.147382,-0.206206,0.106602,-0.024907,0.002244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.358775,-0.180355,-0.068640,0.161184,-0.008641,-0.046581,0.018122,-0.002043,-2.221457,0.415248,-0.190441,0.027101,0.050661,-0.026258,0.004982,-0.000353,0.990914,-0.072679,-0.026372,0.035782,0.000200,-0.009537,0.003519,-0.000397,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.444776,0.060075,-0.041330,-0.045679,0.036345,0.009671,-0.007763,0.001044,-1.746680,0.278649,0.053750,-0.007955,-0.015329,0.003587,0.000514,-0.000142,0.900458,-0.011187,0.010720,-0.007176,0.004339,0.001340,-0.001516,0.000239,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-1.370859,0.194704,0.174655,0.005818,-0.040952,-0.002815,0.005463,-0.000781,-1.199222,0.248882,-0.053262,0.006185,0.012922,-0.000599,-0.001285,0.000204,0.907291,0.014062,-0.010034,-0.021855,-0.008426,0.001318,0.001512,-0.000285,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.763598,0.206220,-0.204855,-0.028497,0.039878,0.002758,-0.004437,0.000601,-0.791719,0.291605,0.075084,0.004287,-0.013347,-0.000534,0.001297,-0.000173,0.740449,-0.260178,-0.089150,0.032470,0.018601,-0.001885,-0.002102,0.000368,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.866635,-0.090848,0.118594,0.050059,-0.028514,-0.004095,0.003175,-0.000376,-0.111548,0.368875,-0.057483,-0.021063,0.009621,0.001639,-0.000897,0.000084,0.282562,-0.078057,0.152916,-0.005506,-0.025299,0.000630,0.002565,-0.000400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.643590,0.211877,-0.055200,-0.055309,0.012377,0.004504,-0.001591,0.000141,0.351843,0.186198,0.004541,0.027668,-0.002085,-0.002289,0.000173,0.000038,0.415026,0.055609,-0.087197,-0.014121,0.023427,0.000967,-0.002503,0.000353,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.595560,-0.147098,-0.043915,0.046024,0.004159,-0.003092,0.000193,0.000017,0.809458,0.331778,0.021384,-0.027661,-0.006435,0.002196,0.000653,-0.000152,0.350978,0.003945,0.095134,0.023046,-0.017501,-0.001911,0.001973,-0.000255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.740336,0.105635,0.142362,0.004078,-0.010826,0.000170,0.000408,-0.000045,1.302865,0.141157,-0.082085,0.017951,0.013945,-0.001179,-0.001274,0.000208,0.634610,0.224302,-0.023571,-0.028179,0.009183,0.001956,-0.001261,0.000154,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,-0.159945,0.449977,0.009239,-0.037148,0.001473,0.001520,-0.000160,-0.000005,1.491092,0.190649,0.099401,0.007409,-0.016112,-0.000686,0.001365,-0.000173,0.898290,0.075679,-0.020365,0.010595,-0.003180,-0.001166,0.000686,-0.000085,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.503901,0.214971,-0.101143,0.002504,0.006353,-0.000554,-0.000222,0.000034,2.056455,0.320751,-0.068728,-0.034959,0.008778,0.002211,-0.000831,0.000069,0.993310,0.027134,-0.018713,-0.001197,0.002342,0.000439,-0.000390,0.000052,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.628267,-0.023146,-0.017464,0.016720,-0.002555,-0.000639,0.000206,-0.000015,2.316893,-0.024647,-0.060519,0.028426,0.002295,-0.002056,0.000046,0.000035,0.997246,-0.006034,0.005124,0.003299,-0.002118,-0.000236,0.000266,-0.000036,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.594732,0.003298,0.012111,-0.004049,-0.001402,0.000541,0.000011,-0.000012,2.231077,-0.006392,0.038527,-0.003868,-0.006866,0.000828,0.000486,-0.000089,1.002421,0.004187,-0.004443,-0.001733,0.001355,0.000180,-0.000189,0.000026,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.611479,0.001551,-0.008310,0.000479,0.001633,-0.000135,-0.000136,0.000023,2.276623,0.011439,-0.026308,-0.002151,0.006098,0.000004,-0.000637,0.000097,0.998168,-0.002923,0.003398,0.001134,-0.001003,-0.000112,0.000136,-0.000019,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.601512,-0.002439,0.006009,0.000508,-0.001438,-0.000012,0.000158,-0.000024,2.247702,-0.010396,0.019237,0.003119,-0.004983,-0.000222,0.000596,-0.000088,1.001371,0.001924,-0.002606,-0.000748,0.000761,0.000072,-0.000102,0.000014,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.608156,0.002058,-0.004585,-0.000605,0.001212,0.000042,-0.000148,0.000022,2.267980,0.007650,-0.014816,-0.002541,0.004069,0.000209,-0.000516,0.000077,0.998798,-0.001233,0.002080,0.000470,-0.000602,-0.000045,0.000080,-0.000012,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.603301,-0.001270,0.003700,0.000374,-0.001043,-0.000025,0.000136,-0.000021,2.252698,-0.004466,0.012025,0.001424,-0.003455,-0.000110,0.000458,-0.000072,1.000911,0.000697,-0.001726,-0.000245,0.000504,0.000021,-0.000068,0.000010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.607073,0.000279,-0.003125,0.000064,0.000958,-0.000025,-0.000136,0.000024,2.264769,0.000917,-0.010236,0.000155,0.003160,-0.000072,-0.000451,0.000080,0.999174,-0.000176,0.001486,0.000007,-0.000456,0.000007,0.000065,-0.000011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.810000,0.604271,0.001066,0.002521,-0.000885,-0.000945,0.000157,0.000170,-0.000040,2.255545,0.003521,0.008353,-0.002879,-0.003119,0.000510,0.000558,-0.000130,1.000568,-0.000385,-0.001188,0.000380,0.000443,-0.000070,-0.000079,0.000018,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
