# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.025000,4.939135,0.000000,0.000000,-1.387699,1.924622,-1.061288,0.266882,-0.025839,-1.391224,-0.000000,-0.000000,-0.105754,0.052780,0.053357,-0.047717,0.010127,0.999169,0.000000,-0.000000,0.450218,-0.876136,0.719748,-0.282498,0.043799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,4.647195,-0.338780,0.241149,0.102904,-0.282485,0.009948,0.081487,-0.022310,-1.429780,-0.053199,0.032679,0.034761,-0.044046,-0.016664,0.024946,-0.005963,1.055695,0.055189,-0.024343,0.027641,0.011424,-0.051269,0.031760,-0.006091,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,4.431543,-0.309943,-0.296890,-0.057633,0.211788,0.018862,-0.078588,0.020075,-1.458172,-0.037408,-0.046184,-0.013996,0.038930,0.005190,-0.017839,0.004711,1.100652,0.024819,-0.038302,-0.015438,0.019610,0.009666,-0.011944,0.002715,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,3.927707,-0.454353,0.239845,0.091817,-0.173393,-0.021537,0.065451,-0.016471,-1.526354,-0.062718,0.028637,-0.002077,-0.038052,-0.000588,0.015960,-0.004479,1.091184,-0.023579,0.008684,0.014154,-0.016758,-0.003894,0.007534,-0.001842,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,3.653422,-0.228440,-0.110431,-0.072022,0.126892,0.017589,-0.052727,0.013500,-1.592274,-0.105736,-0.066131,0.006417,0.041620,-0.001261,-0.016178,0.004644,1.075026,-0.018651,-0.014390,-0.004367,0.012583,0.001795,-0.005684,0.001482,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,3.340557,-0.286493,0.105173,0.018983,-0.105057,-0.008820,0.044138,-0.011717,-1.731949,-0.120882,0.044864,-0.005206,-0.044749,0.001714,0.017146,-0.004928,1.047177,-0.024364,0.011922,0.000898,-0.011952,-0.000474,0.004946,-0.001360,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,3.089159,-0.307757,-0.141262,-0.006424,0.103720,0.004125,-0.039929,0.010731,-1.847754,-0.152232,-0.067977,0.008228,0.048503,-0.001564,-0.018212,0.005175,1.026087,-0.028653,-0.016169,0.000923,0.012327,-0.000050,-0.004808,0.001349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,2.703982,-0.331987,0.131085,0.016762,-0.099929,-0.004678,0.037066,-0.009863,-2.029549,-0.146973,0.067652,-0.001654,-0.051464,0.000612,0.018920,-0.005283,0.990302,-0.027755,0.016280,-0.000503,-0.012858,0.000143,0.004871,-0.001370,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,2.435133,-0.295145,-0.118303,-0.024806,0.088496,0.005675,-0.033699,0.008879,-2.151354,-0.146257,-0.067521,-0.002831,0.050721,0.000413,-0.018984,0.005177,0.968405,-0.028618,-0.016680,0.000262,0.012998,-0.000130,-0.004960,0.001384,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.025000,2.057183,-0.360013,0.077387,0.014864,-0.078847,-0.005683,0.030005,-0.007827,-2.334662,-0.159678,0.056641,0.000605,-0.051201,-0.002111,0.018163,-0.004552,0.931923,-0.029151,0.015420,-0.001171,-0.013669,-0.000099,0.004970,-0.001307,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
