# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.000000,1.518314,0.000000,-0.000000,2.381009,-5.373531,0.003599,5.032572,-2.363265,2.266731,0.000000,0.000000,9.944550,-16.555366,0.368643,12.008129,-5.375478,1.046569,0.000000,-0.000000,9.734689,-16.486230,0.315119,12.248949,-5.516211,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,1.198699,-0.680521,0.797855,-1.139948,-1.163859,1.648407,0.763313,-0.821581,2.657209,-0.124170,1.424785,-0.569627,-1.608533,1.148075,0.423875,-0.389020,1.342885,-0.285038,1.331688,-1.147436,-1.261965,1.602301,0.244915,-0.468950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.602366,-0.089242,1.075424,-2.800388,2.261718,0.447298,-1.315638,0.427428,2.962595,0.142874,-0.265832,-0.661195,1.563077,-0.192940,-1.112903,0.537262,1.358400,0.086520,0.166390,-1.687213,2.408793,-0.075537,-1.601753,0.713550,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.608966,0.041967,-0.041048,-0.633335,0.826128,-0.035131,-0.390446,0.153555,2.972938,-0.001350,-0.211393,0.207834,0.136045,-0.240953,-0.052644,0.091799,1.369151,-0.000517,-0.239598,0.131792,0.214217,-0.261178,-0.019522,0.070140,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.530655,-0.079069,0.032370,-0.114624,-0.143743,0.103027,0.233443,-0.153081,2.902277,-0.134489,-0.043035,0.502560,-1.105569,-0.009383,1.048845,-0.482260,1.264486,-0.159506,0.009423,0.441360,-1.021520,0.057650,0.919599,-0.438977,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.408977,-0.088952,0.143238,-0.348326,0.376822,0.146181,-0.420787,0.138760,2.678946,-0.264815,0.342632,0.084280,-1.341237,0.350117,1.183919,-0.637262,1.072514,-0.169659,0.356339,-0.040455,-0.553846,0.242552,0.314156,-0.193930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,0.355912,-0.162667,-0.576856,-0.938388,0.841957,0.287451,-0.085335,-0.118871,2.396580,-0.298394,0.425507,-0.405281,-0.345213,0.357608,0.296527,-0.232114,1.027672,-0.053543,-0.022770,-0.334747,0.428663,0.066772,-0.281788,0.100171,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-0.396796,-0.670566,0.757915,-0.563238,-0.756612,0.384973,0.944500,-0.564412,2.195220,-0.101671,0.287977,-0.403505,0.141254,0.087735,-0.060196,0.005429,0.930430,-0.044343,0.089455,-0.082158,-0.040562,-0.020430,0.124438,-0.056622,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-0.864235,-0.229912,0.693118,-0.604361,-0.392035,0.361625,0.339064,-0.246338,2.152243,-0.055714,0.013403,0.024948,-0.815616,0.092479,1.043198,-0.532986,0.900208,-0.026031,0.072817,0.058285,-0.221196,0.045325,0.146412,-0.074581,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-0.943075,-0.106758,0.056935,-0.396802,-0.560237,0.281397,0.898645,-0.529672,1.921957,-0.225840,0.574622,-0.103251,-0.578761,0.296607,0.180684,-0.122667,0.901239,-0.007296,0.003722,-0.055352,0.063981,0.028579,-0.057453,0.017403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
